FECHA;PRODUCTO;CANTIDAD;PRECIO UNITARIO;PRECIO
02/01/2026;Desayuno;10;2000;20000
02/01/2026;almuerzo;25;4000;100000
03/01/2026;Desayuno;15;2000;30000
03/01/2026;almuerzo;30;4000;120000
04/01/2026;Desayuno;25;2000;50000
04/01/2026;almuerzo;10;4000;40000
05/01/2026;Desayuno;6;2000;12000
05/01/2026;almuerzo;4;4000;16000
06/01/2026;Desayuno;8;2000;16000
06/01/2026;almuerzo;10;4000;40000
07/01/2026;Desayuno;8;2000;16000
07/01/2026;almuerzo;15;4000;60000
08/01/2026;Desayuno;10;2000;20000
08/01/2026;almuerzo;25;4000;100000
09/01/2026;Desayuno;15;2000;30000
09/01/2026;almuerzo;30;4000;120000
10/01/2026;Desayuno;25;2000;50000
10/01/2026;almuerzo;10;4000;40000
11/01/2026;Desayuno;6;2000;12000
11/01/2026;almuerzo;4;4000;16000
12/01/2026;Desayuno;8;2000;16000
12/01/2026;almuerzo;10;4000;40000
13/01/2026;Desayuno;8;2000;16000
13/01/2026;almuerzo;15;4000;60000
14/01/2026;Desayuno;18;2000;36000
14/01/2026;almuerzo;6;4000;24000
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
